file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00016_07549.700-07556.800,དེས་རང་ལ་གནོད་པ་བྱེད་འདོད་ཀྱི་བསམ་པ་སྔོན་དུ་བཏང་ནས་སྦྱོར་བས་རང་གི་བདེ་བ་བཀག་པའམ་ལུས་དང་སེམས་ལ་ཡིད་དུ་མི་འོང་བའི་སྡུག་བསྔལ་བསྐྱེད་པས་སོ་སྙམ་ན།  ,des rang la gnod pa byed 'dod kyi bsam pa sngon du btang nas sbyor bas rang gi bde ba bkag pa'am lus dang sems la yid du mi 'ong ba'i sdug bsngal bskyed pas so snyam na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00016_07549.700-07556.800.wav,STT_TT,3,143,7.100000000000364,wav16k/STT_TT00016_07549.700-07556.800.wav,དེས་རང་ལ་གནོད་པ་བྱེད་འདོད་ཀྱི་བསམ་པ་སྔོན་དུ་བཏང་ནས་སྦྱོར་བས་རང་གི་བདེ་བ་བཀག་པའམ་ལུས་དང་སེམས་ལ་ཡིད་དུ་མི་འོང་བའི་སྡུག་བསྔལ་བསྐྱེད་པས་སོ་སྙམ་ན།
STT_TT00016_07558.050-07559.350,ད་སོ་སོས་ཁོང་ཁྲོ་ཟ་ས་ ,da so sos khong khro za sa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00016_07558.050-07559.350.wav,STT_TT,3,22,1.300000000000182,wav16k/STT_TT00016_07558.050-07559.350.wav,ད་སོ་སོ་ཁོང་ཁྲོ་ཟ་ས་
STT_TT00016_07559.950-07560.750,མི་འདི་གིས་ ,mi 'di gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00016_07559.950-07560.750.wav,STT_TT,3,12,0.8000000000001819,wav16k/STT_TT00016_07559.950-07560.750.wav,མི་དེ་
STT_TT00016_07561.100-07561.800,པེ་ད་ཨེ་ནས།  ,pe da e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00016_07561.100-07561.800.wav,STT_TT,3,13,0.6999999999998181,wav16k/STT_TT00016_07561.100-07561.800.wav,དེ་དང་ཨེ་ནས།
STT_TT00016_07562.000-07564.650,ཨེ། དེ་ལ་ཡ་ང་ཚོ་ཁོང་ཁྲོ་ཟ་ཡ་གི་རྒྱུ་མཚན་ག་རེ་ཟེར་ལབ་ན།  ,e/_de la ya nga tsho khong khro za ya gi rgyu mtshan ga re zer lab na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00016_07562.000-07564.650.wav,STT_TT,3,56,2.649999999999636,wav16k/STT_TT00016_07562.000-07564.650.wav,ཨེ། དེ་ལ་ཡ་ང་ཚོ་ཁོང་ཁྲོ་ཟ་ཡ་གི་རྒྱུ་མཚན་ག་རེད་ཟེ་ལབ་ན།
STT_CS-D-2013-P-D-B05-3-R-01_0035_263798_to_267072,རྒན་ལགས་བུ་མོ་གཅིག་ཡོད་རེད་དཱ་རཱ། འོ་འདི་པོ་ཁྀ་མོན་ཞེད་སྣང་ཚ་བོ་དཔེ་ཡོད་རེད་དཱ་རཱ།  ,rgan lags bu mo gcig yod red dA rA/_'o 'di po kh-i mon zhed snang tsha bo dpe yod red dA rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0035_263798_to_267072.wav,STT_CS,3,84,3.274,wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0035_263798_to_267072.wav,རཱ་བུ་མོ་གཅིག་ཡོད་རེད་ད་རཱ། འོ་ཕོ་ཁྀ་ནན་ཞེད་སྣང་ཚ་བོ་དཔེ་ཡོད་རེད་ད་རཱ།
STT_CS-D-2013-P-D-B05-3-R-01_0036_268236_to_270885,ཨེ་ནས་འོ། པོ་ཁི་མོན་བསྡུར་དགོས་ལབ་སོང་དཱ་རཱ།  ,e nas 'o/_po khi mon bsdur dgos lab song dA rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0036_268236_to_270885.wav,STT_CS,3,46,2.649,wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0036_268236_to_270885.wav,ཨེ་ནས་འོ། ཨ་་ཀཱ་མོན་བསྡུར་དགོས་ལབ་སོང་ད་རཱ།
STT_CS-D-2013-P-D-B05-3-R-01_0037_274919_to_280184,དེ་ལཱསྀཋྀ་བ་ཕྱུགས་དང་པོ་ཁྀ་མོན་གཅིག་ཡོད་རེད་དཱ་རཱ། ཞེད་སྣང་ཚ་བོ་དཔེ་དཱ་རཱ། ཁོ་རྐང་པ་ས་ལ་གཅིག་ཐུག་རེད་དཱ།  ,de lAs-iTh-i ba phyugs dang po kh-i mon gcig yod red dA rA/_zhed snang tsha bo dpe dA rA/_kho rkang pa sa la gcig thug red dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0037_274919_to_280184.wav,STT_CS,3,106,5.265,wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0037_274919_to_280184.wav,དེ་ལབ་སོང་། བ་ཕྱུགས་འདྲ་བོ་ཕོ་ཁི་མན་གཅིག་ཡོད་རེད་ད་རཱ། ཞེད་སྣང་ཚ་བོ་དཔེ་འདུག་རཱ། ོརྐང་པ་ལ་ས་ལ་གཅིག་ཐུག་དེད་ད།
STT_CS-D-2013-P-D-B05-3-R-01_0038_283575_to_285955,འཛམ་གླིང་གི་མནན་མནན་གི་འདུག་ག། འོག་པོ་ཁྀ་མོན་ཌོབ།  ,'dzam gling gi mnan mnan gi 'dug ga/_'og po kh-i mon Dob/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0038_283575_to_285955.wav,STT_CS,3,51,2.38,wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0038_283575_to_285955.wav,འཛམ་གླིང་ི་མནམ་མནན་བྡད་འདུག་ག ཝ་བ་ཁ་མན་དག་
STT_CS-D-2013-P-D-B05-3-R-01_0039_291355_to_293447,མོ་ཡི་རཱ། ཁོ་ལ་གྷིཧྥོཋྀ་སྤྲད་རེད།  ,mo yi rA/_kho la g+hih+phoTh-i sprad red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0039_291355_to_293447.wav,STT_CS,3,35,2.092,wav16k/STT_CS-D-2013-P-D-B05-3-R-01_0039_291355_to_293447.wav,མོ་ཡིས་རཱ། ཁོ ཁོ་ལ་གྷིཧྥོཋྀ་སྤྲད་རེད།
